,Precio_Predicho
2025-03-17,82667.99791085567
2025-03-18,82660.87205288587
2025-03-19,82661.4470457017
2025-03-20,82661.40064893942
2025-03-21,82661.40439274194
2025-03-22,82661.40409065066
2025-03-23,82661.40411502671
2025-03-24,82661.40411305979
2025-03-25,82661.40411321851
2025-03-26,82661.4041132057
2025-03-27,82661.40411320674
2025-03-28,82661.40411320665
2025-03-29,82661.40411320665
2025-03-30,82661.40411320665
2025-03-31,82661.40411320665
2025-04-01,82661.40411320665
2025-04-02,82661.40411320665
2025-04-03,82661.40411320665
2025-04-04,82661.40411320665
2025-04-05,82661.40411320665
2025-04-06,82661.40411320665
2025-04-07,82661.40411320665
2025-04-08,82661.40411320665
2025-04-09,82661.40411320665
2025-04-10,82661.40411320665
2025-04-11,82661.40411320665
2025-04-12,82661.40411320665
2025-04-13,82661.40411320665
2025-04-14,82661.40411320665
2025-04-15,82661.40411320665
